OBJECTID,SampleID,saris_pali,waterbody_,waterbody1,CFR,latitude,longitude,date,year,sample_typ,gear,warmwater_,warmwater1,contains_n,coldwater_,coldwater1,min_EBT_le,max_EBT_le,snapped_la,snapped_lo,Last_sampl,Link_to_da,Link_to_pi,ORIG_FID
"475","1259","5132925",Chapin Brook,Stream_River,TRUE,42.21697000000,-71.87719000000,2005-09-07,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0055|,"50","159",42.21704727460,-71.87696236950,"2015",file:///W:/fisherie/Scanned River Files/Watersheds/Narragansett Bay (5)/Blackstone River Basin (51)/5132925- Chapin Brook,NA,"-1"
"476","1260","3419225",West Branch Mill River,Stream_River,TRUE,42.40478000000,-72.75006000000,2005-08-11,"2005",Total Pick-up,Backpack Shocking,---B|--BB|-BND|-CCS|-CRC|--CS|--GS|-LND|---P|--WS|,0004|0005|0071|0007|0001|0042|0019|0046|0014|0002|,TRUE,--AS|--BT|-EBT|--SC|,0051|0007|0008|0050|,"70","200",42.40480718430,-72.75013376420,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3419225- Mill River (WB),NA,"-1"
"477","1261","8145700",Stillwater River,Stream_River,TRUE,42.40601000000,-71.79043000000,2005-08-22,"2005",Total Pick-up,Backpack Shocking,---B|-BND|---F|-LMB|-LND|---P|--TD|--WS|,0002|0054|0104|0012|0032|0002|0036|0016|,TRUE,--BT|-EBT|-LLS|,0001|0001|0097|,"180","180",42.40596696050,-71.79046653980,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8145700- Stillwater Ri,NA,"-1"
"478","1262","8145700",Stillwater River,Stream_River,TRUE,42.44660000000,-71.81767000000,2005-09-02,"2005",Total Pick-up,Backpack Shocking,-BND|---F|-LMB|-LND|--RP|--TD|--WS|,0054|0040|0003|0042|0001|0001|0011|,TRUE,--BT|-EBT|-LLS|,0002|0003|0081|,"165","190",42.44639271350,-71.81772424970,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Merrimack (8)/Nashua R. Basin (81)/8145700- Stillwater Ri,NA,"-1"
"479","1263","3312925",Green River (1),Stream_River,TRUE,42.77250000000,-72.66308000000,2005-08-23,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0146|0052|,TRUE,--AS|-EBT|--SC|,0085|0007|0050|,"59","161",42.77246055440,-72.66306054320,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3312925- Green River,NA,"-1"
"480","1271","3625540",UNT to Quaboag River (wellman Brook),Stream_River,TRUE,42.15291000000,-72.29627000000,2005-07-20,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0036|0014|,"46","181",42.15284989180,-72.29625033170,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625540- UNT to Quaboag R,NA,"-1"
"481","1272","3625575",Bottle Brook,Stream_River,TRUE,42.15329000000,-72.26229000000,2005-07-19,"2005",Total Pick-up,Backpack Shocking,---B|,0048|,TRUE,-EBT|,0048|,"39","240",42.15366338980,-72.26213253120,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625575- Bottle Br,NA,"-1"
"482","1273","3625825",Sullivan Brook,Stream_River,TRUE,42.23439000000,-72.18758000000,2005-07-19,"2005",Total Pick-up,Backpack Shocking,---B|-BND|--CS|---P|--WS|,0002|0133|0001|0007|0021|,TRUE,-EBT|,0036|,"49","178",42.23416422080,-72.18758744740,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625825- Sullivan Br,NA,"-1"
"483","1274","3625850",Naultaug Brook,Stream_River,TRUE,42.20094000000,-72.16253000000,2005-07-18,"2005",Total Pick-up,Backpack Shocking,--BB|-BND|,0002|0025|,TRUE,-EBT|,0034|,"30","220",42.20094377220,-72.16271126930,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625850- Naultaug Br,NA,"-1"
"484","1275","3627495",Dugan Brook (UNT to Ware River),Stream_River,TRUE,42.23686000000,-72.27193000000,2005-07-07,"2005",Total Pick-up,Backpack Shocking,-BND|,0010|,TRUE,-EBT|,0036|,"55","182",42.23691467570,-72.27205361370,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3627495- Dugan Br (UNT to Ware R),NA,"-1"
"485","1278","3625625",Penny Brook,Stream_River,TRUE,42.16911000000,-72.26156000000,2005-07-20,"2005",Total Pick-up,Backpack Shocking,-BND|--GS|-LND|--WS|,0071|0003|0026|0003|,TRUE,-EBT|--SC|,0020|0005|,"52","189",42.16907182700,-72.26142459050,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625625- Penny Br,NA,"-1"
"486","1279","3625760",UNT to Quaboag River (Patch Brook),Stream_River,TRUE,42.20475000000,-72.22910000000,2005-07-14,"2005",Total Pick-up,Backpack Shocking,-BND|,0047|,TRUE,-EBT|,0007|,"55","136",42.20452149410,-72.22926475700,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625760- UNT to Quaboag R,NA,"-1"
"487","1280","3625760",UNT to Quaboag River (Patch Brook),Stream_River,TRUE,42.20418000000,-72.22847000000,2005-07-14,"2005",Total Pick-up,Backpack Shocking,-BND|--WS|,0037|0007|,TRUE,-EBT|,0006|,"128","227",42.20424180210,-72.22850093640,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Chicopee River Basin (36)/3625760- UNT to Quaboag R,NA,"-1"
"488","1283","9559135",Patterson Brook (UNT-Weweantic River),Stream_River,TRUE,41.78661000000,-70.75616000000,2005-06-09,"2005",Total Pick-up,Backpack Shocking,--AE|--RP|,0005|0001|,TRUE,-EBT|,0002|,"188","208",41.78679633990,-70.75616265890,"2014",file:///W:/fisherie/Scanned River Files/Watersheds/Coastal (9)/Buzzards Bay Basin (95)/9559135- Patterson Br (UNT to Weweantic R),NA,"-1"
"489","1288","3313525",Miller Brook,Stream_River,TRUE,42.72756000000,-72.68261000000,2005-08-04,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0008|,"60","133",42.72755010540,-72.68268722440,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313525- Miller Br,NA,"-1"
"490","1289","3420650",Spaulding Brook,Stream_River,TRUE,42.51527000000,-72.50605000000,2005-08-25,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0019|,"52","143",42.51561700110,-72.50588222070,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3420650- Spaulding Br,NA,"-1"
"491","1290","3420625",Goddard Brook,Stream_River,TRUE,42.54558000000,-72.50565000000,2005-08-25,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0046|,"48","152",42.54577712390,-72.50554086770,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3420625- Goddard Br,NA,"-1"
"492","1291","3421550",Louisiana Brook,Stream_River,TRUE,42.71766000000,-72.44701000000,2005-08-24,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0029|0003|,"42","166",42.71769343100,-72.44684032660,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3421550- Louisiana Br,NA,"-1"
"493","1292","3313400",Johnson Brook,Stream_River,TRUE,42.65899000000,-72.68098000000,2005-08-08,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0013|,"46","147",42.65887596950,-72.68054772490,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313400- Johnson Br,NA,"-1"
"494","1293","1101250",Tophet Brook,Stream_River,TRUE,42.60670000000,-73.09770000000,2005-08-08,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0015|0007|,TRUE,-EBT|-LNS|,0079|0001|,"60","225",42.60670864440,-73.09777609560,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Hudson (1)/Hoosic River Basin (11)/1101250- Tophet Br,NA,"-1"
"495","1295","2105550",Cleveland Brook,Stream_River,TRUE,42.47523000000,-73.12052000000,2005-08-24,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|,0019|0001|,TRUE,-EBT|,0054|,"51","145",42.47551140070,-73.12041679650,"2008",file:///W:/fisherie/Scanned River Files/Watersheds/Housatonic (2)/Housatonic River Basin (21)/2105550- Cleveland Br,NA,"-1"
"496","1296","2105925",Daniels Brook,Stream_River,TRUE,42.48997000000,-73.27499000000,2005-08-04,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,--BT|-EBT|--SC|,0028|0027|0007|,"59","208",42.49004661990,-73.27493897580,"2006",file:///W:/fisherie/Scanned River Files/Watersheds/Housatonic (2)/Housatonic River Basin (21)/2105925- Daniels Br,NA,"-1"
"497","1297","2105825",Parker Brook,Stream_River,TRUE,42.47936000000,-73.29394000000,2005-08-04,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--WS|,0035|0002|0001|,TRUE,-EBT|--SC|,0055|0005|,"44","175",42.47932806490,-73.29393416650,"2007",file:///W:/fisherie/Scanned River Files/Watersheds/Housatonic (2)/Housatonic River Basin (21)/2105825- Parker Br,NA,"-1"
"498","1298","2105850",Lulu Cascade Brook,Stream_River,TRUE,42.49410000000,-73.29958000000,2005-08-04,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0125|,"41","180",42.49409104490,-73.29952587790,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Housatonic (2)/Housatonic River Basin (21)/2105850- Lulu Cascade Br,NA,"-1"
"499","1300","3209900",Freeland Brook,Stream_River,TRUE,42.18335000000,-72.89551000000,2005-08-02,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,--AS|--BT|-EBT|,0126|0010|0051|,"51","185",42.18346355820,-72.89511561820,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3209900- Freeland Br,NA,"-1"
"500","1318","1101250",Tophet Brook,Stream_River,TRUE,42.61503640000,-73.10419560000,2005-08-08,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0055|0014|,TRUE,-EBT|,0027|,"59","205",42.61507932650,-73.10319271400,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Hudson (1)/Hoosic River Basin (11)/1101250- Tophet Br,NA,"-1"
"501","1319","3210725",Middle Branch Westfield River,Stream_River,TRUE,42.40285000000,-72.97888000000,2005-08-29,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|-LND|--WS|,0091|0004|0020|0008|,TRUE,--AS|-EBT|--SC|,0009|0032|0031|,"56","161",42.40288972190,-72.97888788870,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3210725- Middle Branch Westfield R,NA,"-1"
"502","1320","3315600",Brown Brook,Stream_River,TRUE,42.57873300000,-72.97629700000,2005-08-30,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|--SC|,0060|0002|,"45","158",42.57928622600,-72.97616945840,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315600- Brown Brk,NA,"-1"
"503","1321","3315425",Chickley River,Stream_River,TRUE,42.57817200000,-72.97563400000,2005-08-30,"2005",Total Pick-up,Backpack Shocking,-LND|,0005|,TRUE,--AS|-EBT|--SC|,0010|0031|0012|,"59","215",42.57824946400,-72.97546647350,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315425- Chickley River,NA,"-1"
"504","1322","3315375",Legate Hill Brook,Stream_River,TRUE,42.63617000000,-72.89737000000,2005-08-30,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--WS|,0087|0225|0015|,TRUE,-EBT|--SC|,0023|0013|,"50","193",42.63613096130,-72.89755177670,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315375- Legate Hill Br,NA,"-1"
"505","1323","3315650",Horsefords Brook,Stream_River,TRUE,42.58804000000,-73.00033000000,2005-08-31,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0108|,"40","175",42.58804966390,-73.00021640620,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315650- Hosfords Brk,NA,"-1"
"506","1324","3315425",Chickley River,Stream_River,TRUE,42.58439000000,-73.00305000000,2005-08-31,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0053|,"51","175",42.58464923890,-73.00250050330,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315425- Chickley River,NA,"-1"
"507","1325","3107575",Pond Brook (1),Stream_River,TRUE,42.05694000000,-72.94108000000,2005-08-17,"2005",Total Pick-up,Backpack Shocking,-BND|,0048|,TRUE,-EBT|,0064|,"45","190",42.05700384790,-72.94069815280,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107575- Pond Br,NA,"-1"
"508","1326","3107585",UNT to Pond Brook,Stream_River,TRUE,42.07200000000,-72.94293000000,2005-08-17,"2005",Total Pick-up,Backpack Shocking,-BND|,0024|,TRUE,-EBT|,0062|,"45","190",42.07213251150,-72.94313139220,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107585- UNT to Pond Br,NA,"-1"
"509","1327","3316425",Dunbar Brook,Stream_River,TRUE,42.70435000000,-72.95615000000,2005-08-15,"2005",Total Pick-up,Backpack Shocking,-BND|,0002|,TRUE,--BT|-EBT|,0003|0011|,"50","135",42.70389220270,-72.95586548230,"2015",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316425- Dunbar Br,NA,"-1"
"510","1328","3314800",Smith Brook,Stream_River,TRUE,42.54956000000,-72.80999000000,2005-08-31,"2005",Total Pick-up,Backpack Shocking,-BND|,0015|,TRUE,-EBT|,0040|,"56","115",42.54932587410,-72.80961521010,"2014",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314800- Smith Br,NA,"-1"
"511","1329","3316100",Steele Brook,Stream_River,TRUE,42.66413000000,-72.93795000000,2005-08-15,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0026|,"55","179",42.66441160630,-72.93800437690,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316100- Steele Br,NA,"-1"
"512","1330","3316500",Granger Brook,Stream_River,TRUE,42.72818600000,-73.01255200000,2005-08-15,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0043|,"42","134",42.72804620060,-73.01323299670,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316500- Granger Brk,NA,"-1"
"513","1332","3314575",Sanders Brook,Stream_River,TRUE,42.70411700000,-72.78296900000,2005-08-09,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0002|0003|,TRUE,--AS|-EBT|--SC|,0009|0069|0036|,"47","190",42.70434148030,-72.78313654780,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314575- Sanders Brook,NA,"-1"
"514","1333","3314900",Cooley Brook,Stream_River,TRUE,42.58328400000,-72.83966500000,2005-08-09,"2005",Total Pick-up,Backpack Shocking,None,NA,TRUE,-EBT|,0040|,"52","177",42.58323626740,-72.83973819780,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314900- Cooley Br,NA,"-1"
"515","1334","3107700",Valley Brook,Stream_River,TRUE,42.08136000000,-72.90974000000,2005-08-01,"2005",Total Pick-up,Backpack Shocking,-BND|,0036|,TRUE,-EBT|--SC|,0048|0031|,"44","143",42.08134164220,-72.90985657450,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107700- Valley Br,NA,"-1"
"516","1335","3107630",UNT to Babcock Brook,Stream_River,TRUE,42.11428000000,-72.99877000000,2005-08-01,"2005",Total Pick-up,Backpack Shocking,-BND|,0001|,TRUE,-EBT|,0014|,"52","166",42.11430370440,-72.99890006390,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107630- UNT to Babcock Br,NA,"-1"
"517","1336","3107125",Clam River,Stream_River,TRUE,42.09400000000,-73.08575000000,2005-07-27,"2005",Total Pick-up,Backpack Shocking,--BB|-BND|-CLM|--CS|-LND|---P|-SMB|--TD|--WS|,0002|0001|0040|0001|0006|0001|0006|0009|0016|,TRUE,--BT|-EBT|--SC|,0005|0002|0004|,"65","235",42.09395699170,-73.08608417830,"2012",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107125- Clam R,NA,"-1"
"518","1337","3107125",Clam River,Stream_River,TRUE,42.13306000000,-73.10570000000,2005-07-25,"2005",Total Pick-up,Backpack Shocking,-BND|-CLM|-CRC|--CS|-LND|--WS|--YP|,0048|0009|0007|0005|0013|0008|0001|,TRUE,--BT|-EBT|,0004|0001|,"158","158",42.13304297930,-73.10526484230,"2012",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107125- Clam R,NA,"-1"
"519","1339","3107425",Cone Brook,Stream_River,TRUE,42.24173000000,-73.13596000000,2005-07-20,"2005",Total Pick-up,Backpack Shocking,---P|,0001|,TRUE,-EBT|,0009|,"80","140",42.24173107390,-73.13624671810,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107425- Cone Br,NA,"-1"
"520","1340","3107525",Shales Brook,Stream_River,TRUE,42.26062000000,-73.13407000000,2005-07-19,"2005",Total Pick-up,Backpack Shocking,--WS|--YP|,0003|0001|,TRUE,-EBT|,0068|,"34","215",42.26056712260,-73.13413122780,"2005",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Farmington River Basin (31)/3107525- Shales Br,NA,"-1"
"521","1341","3312925",Green River (1),Stream_River,TRUE,42.79813000000,-72.68402000000,2005-08-23,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|--WS|,0070|0029|0001|,TRUE,--AS|-EBT|--SC|,0042|0019|0067|,"65","207",42.79811039830,-72.68355748140,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3312925- Green River,NA,"-1"
"522","1343","3420925",Fall River,Stream_River,TRUE,42.70544000000,-72.56188000000,2005-08-25,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0015|0080|,TRUE,--AS|-EBT|--SC|,0026|0024|0327|,"61","161",42.70548252090,-72.56168239120,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3420925- Fall River,NA,"-1"
"523","1344","3419150",East Branch Mill River,Stream_River,TRUE,42.40774000000,-72.73720000000,2005-08-11,"2005",Total Pick-up,Backpack Shocking,-BND|--CS|-LND|,0074|0001|0044|,TRUE,--AS|--BT|-EBT|--SC|,0026|0001|0016|0028|,"56","178",42.40791690800,-72.73716852710,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3419150- Mill River (EB),NA,"-1"
"524","1345","3421000",Shattuck Brook,Stream_River,TRUE,42.72157000000,-72.58872000000,2005-08-25,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0007|0009|,TRUE,--AS|-EBT|--SC|,0028|0032|0077|,"50","244",42.72159185390,-72.58862155360,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3421000- Shattuck Br,NA,"-1"
"525","1347","3209850",Stage Brook,Stream_River,TRUE,42.18341000000,-72.87227000000,2005-08-02,"2005",Total Pick-up,Backpack Shocking,-BND|--GS|,0045|0001|,TRUE,--AS|-EBT|,0101|0027|,"55","150",42.18338606800,-72.87234273120,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3209850- Stage Brook,NA,"-1"
"526","1348","3418450",Sodom Brook,Stream_River,TRUE,42.29989600000,-72.76736100000,2005-08-18,"2005",Total Pick-up,Backpack Shocking,---B|-BND|-CRC|-LND|,0001|0010|0002|0002|,TRUE,--AS|--BT|-EBT|,0059|0010|0011|,"64","195",42.29987677030,-72.76736651370,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3418450- Sodom Brook,NA,"-1"
"527","1349","3313650",South River,Stream_River,TRUE,42.50724000000,-72.76914000000,2005-08-15,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|-LND|--WS|,0003|0001|0005|0002|,TRUE,--AS|-EBT|--SC|,0007|0026|0076|,"60","268",42.50704740560,-72.76895163190,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3313650- South River,NA,"-1"
"528","1350","3211700",Tower Brook (1),Stream_River,TRUE,42.41273000000,-72.87979000000,2005-08-29,"2005",Total Pick-up,Backpack Shocking,-BND|,0021|,TRUE,--AS|-EBT|--SC|,0017|0071|0042|,"52","196",42.41245220090,-72.87983795760,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3211700- Tower Brk,NA,"-1"
"529","1351","3316075",Pelham Brook,Stream_River,TRUE,42.68091300000,-72.91847800000,2005-08-04,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|,0062|0012|,TRUE,--AS|-EBT|,0100|0009|,"60","171",42.68091160550,-72.91861720870,"2016",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3316075- Pelham Brook,NA,"-1"
"530","1352","3315425",Chickley River,Stream_River,TRUE,42.60866000000,-72.93067000000,2005-08-03,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|--WS|,0062|0047|0005|,TRUE,--AS|--BT|-EBT|--SC|,0053|0002|0006|0037|,"68","126",42.60847605120,-72.93051858760,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315425- Chickley River,NA,"-1"
"531","1353","3210125",Roaring Brook (2),Stream_River,TRUE,42.25104000000,-72.90402000000,2005-08-01,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|,0056|0001|,TRUE,--AS|-EBT|,0059|0006|,"64","145",42.25116150730,-72.90439740300,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3210125- Roaring Brook (WB),NA,"-1"
"532","1354","3211525",West Branch Brook,Stream_River,TRUE,42.41377000000,-72.90382000000,2005-08-29,"2005",Total Pick-up,Backpack Shocking,-BND|,0055|,TRUE,--AS|-EBT|,0117|0088|,"50","192",42.41365662240,-72.90358233800,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3211525- West Branch Brook,NA,"-1"
"533","1355","3421450",Mill Brook,Stream_River,TRUE,42.69492000000,-72.43376000000,2005-08-25,"2005",Total Pick-up,Backpack Shocking,--BB|-BND|--GS|,0007|0003|0003|,TRUE,--AS|--BT|-EBT|,0058|0005|0018|,"65","315",42.69477067200,-72.43377455850,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3421450- Mill Brook (2),NA,"-1"
"534","1357","3312925",Green River (1),Stream_River,TRUE,42.69204000000,-72.65844000000,2005-08-23,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--CS|-LND|,0375|0005|0006|0102|,TRUE,--AS|-EBT|--SC|,0117|0001|0003|,"58","58",42.69147295580,-72.65887324660,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3312925- Green River,NA,"-1"
"535","1358","3418400",North Branch Manhan River,Stream_River,TRUE,42.28112000000,-72.73193000000,2005-08-18,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--CS|-LND|--SL|--WS|,0205|0014|0049|0045|0001|0005|,TRUE,--AS|--BT|-EBT|--SC|,0086|0004|0006|0136|,"64","150",42.28109089170,-72.73229658350,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Connecticut River Basin (34)/3418400- Manhan River (NB),NA,"-1"
"536","1359","3208825",Munn Brook,Stream_River,TRUE,42.09066000000,-72.81357000000,2005-08-17,"2005",Total Pick-up,Backpack Shocking,--AE|-BND|--CS|-LND|--TD|--WS|,0001|0297|0021|0065|0003|0012|,TRUE,--AS|--BT|-EBT|--SC|,0028|0001|0010|0302|,"56","172",42.09085341750,-72.81314643610,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3208825- Munn Br,NA,"-1"
"537","1360","3208975",Dickinson Brook,Stream_River,TRUE,42.07333000000,-72.84645000000,2005-08-17,"2005",Total Pick-up,Backpack Shocking,--AE|---B|-BND|-LND|--WS|,0001|0002|0086|0002|0001|,TRUE,--AS|--BT|-EBT|,0100|0005|0031|,"48","199",42.07308916440,-72.84620750670,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3208975- Dickenson Br,NA,"-1"
"538","1361","3211800",North Branch Swift River,Stream_River,TRUE,42.44891000000,-72.86239000000,2005-08-16,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--CS|-LND|---P|--WS|,0046|0058|0034|0051|0001|0011|,TRUE,--AS|-EBT|--SC|,0008|0011|0010|,"41","155",42.44883623400,-72.86265339690,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3211800- North Branch Swift R,NA,"-1"
"539","1362","3211825",Stones Brook,Stream_River,TRUE,42.45545000000,-72.84011000000,2005-08-16,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|--CS|-LND|--WS|,0189|0011|0033|0043|0007|,TRUE,--AS|-EBT|,0029|0015|,"58","136",42.45550269390,-72.84019245990,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Westfield River Basin (32)/3211825- Stones Brook,NA,"-1"
"540","1363","3315675",Cold River,Stream_River,TRUE,42.64295000000,-72.94936000000,2005-08-24,"2005",Total Pick-up,Backpack Shocking,-BND|-LND|--WS|,0077|0018|0001|,TRUE,--AS|--BT|-EBT|--SC|,0111|0012|0002|0006|,"59","60",42.64284427530,-72.94929916520,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3315675- Cold R,NA,"-1"
"541","1364","3314375",West Branch North River,Stream_River,TRUE,42.68045000000,-72.74193000000,2005-08-08,"2005",Total Pick-up,Backpack Shocking,-BND|-CRC|-LND|--WS|,0128|0001|0105|0031|,TRUE,--AS|-EBT|--SC|,0067|0002|0055|,"87","194",42.68045446580,-72.74191413830,"2017",file:///W:/fisherie/Scanned River Files/Watersheds/Connecticut (3)/Deerfield River Basin (33)/3314375- WB North River,NA,"-1"
